Provincia,Localidad,Cantidad
Ciudad de Buenos Aires,CIUDAD AUTONOMA DE BUENOS AIRES,1286
Santa Fe,ROSARIO,252
Córdoba,CORDOBA,233
Provincia de Buenos Aires,MAR DEL PLATA,208
Provincia de Buenos Aires,LA PLATA,151
Provincia de Buenos Aires,BAHIA BLANCA,137
Chubut,COMODORO RIVADAVIA,128
Río Negro,SAN CARLOS DE BARILOCHE,124
Provincia de Buenos Aires,PUNTA ALTA,101
Neuquén,NEUQUEN,81
Provincia de Buenos Aires,TANDIL,78
Entre Ríos,PARANA,77
Mendoza,SAN RAFAEL,77
Provincia de Buenos Aires,QUILMES,76
Salta,SALTA,73
Tierra del Fuego A. e I.A.S.,USHUAIA,72
Santa Cruz,RIO GALLEGOS,66
Entre Ríos,GUALEGUAYCHU,62
Provincia de Buenos Aires,NECOCHEA,62
Provincia de Buenos Aires,LOMAS DE ZAMORA,61
Chubut,TRELEW,59
Córdoba,VILLA CARLOS PAZ,55
Chaco,RESISTENCIA,55
Provincia de Buenos Aires,MORON,53
Entre Ríos,GUALEGUAY,53
Provincia de Buenos Aires,BANFIELD,52
Provincia de Buenos Aires,MERLO,52
Provincia de Buenos Aires,ITUZAINGO,52
Río Negro,GENERAL ROCA,51
Provincia de Buenos Aires,MIRAMAR,50
Corrientes,CORRIENTES,49
Santiago del Estero,SANTIAGO DEL ESTERO,49
Provincia de Buenos Aires,BERAZATEGUI,48
Córdoba,RIO CUARTO,47
Santa Fe,SANTA FE,47
Provincia de Buenos Aires,VILLA BALLESTER,47
Provincia de Buenos Aires,SAN MIGUEL,46
Entre Ríos,CONCORDIA,45
Provincia de Buenos Aires,RAMOS MEJIA,44
Misiones,POSADAS,44
Provincia de Buenos Aires,TEMPERLEY,43
Provincia de Buenos Aires,LANUS OESTE,43
Provincia de Buenos Aires,PERGAMINO,42
Provincia de Buenos Aires,CASEROS,42
Provincia de Buenos Aires,SAN NICOLAS DE LOS ARROYOS,42
Provincia de Buenos Aires,MONTE GRANDE,41
Mendoza,GODOY CRUZ,41
Provincia de Buenos Aires,MORENO,41
Provincia de Buenos Aires,CASTELAR,41
San Luis,SAN LUIS,40
Córdoba,ALTA GRACIA,39
Provincia de Buenos Aires,9 DE JULIO,37
Provincia de Buenos Aires,GENERAL RODRIGUEZ,37
Santa Fe,RAFAELA,36
Provincia de Buenos Aires,SAN PEDRO,35
Provincia de Buenos Aires,PINAMAR,34
Provincia de Buenos Aires,CAMPANA,34
Provincia de Buenos Aires,OLAVARRIA,34
Córdoba,VILLA MARIA,33
La Rioja,LA RIOJA,33
Mendoza,MENDOZA,33
Tucumán,SAN MIGUEL DE TUCUMAN,32
Provincia de Buenos Aires,QUILMES OESTE,32
Chubut,RADA TILLY,31
Provincia de Buenos Aires,OLIVOS,31
Mendoza,LAS HERAS,31
Córdoba,MINA CLAVERO,31
Provincia de Buenos Aires,PEHUAJO,30
Provincia de Buenos Aires,LANUS,30
La Pampa,SANTA ROSA,29
Provincia de Buenos Aires,SALADILLO,29
Tierra del Fuego A. e I.A.S.,RIO GRANDE,28
Río Negro,CIPOLLETTI,28
Provincia de Buenos Aires,MARTINEZ,28
Provincia de Buenos Aires,BOULOGNE,28
Provincia de Buenos Aires,EL PALOMAR,28
La Pampa,GENERAL PICO,28
Provincia de Buenos Aires,WILDE,28
Chubut,RAWSON,27
Santa Fe,VENADO TUERTO,27
Chubut,PUERTO MADRYN,27
Provincia de Buenos Aires,JUNIN,27
Provincia de Buenos Aires,FLORIDA,27
Chubut,ESQUEL,27
Catamarca,SAN FDO DEL VALLE DE CATAMARCA,27
San Juan,SAN JUAN,26
Córdoba,SAN FRANCISCO,26
Provincia de Buenos Aires,ADROGUE,26
Mendoza,GENERAL ALVEAR,25
Provincia de Buenos Aires,FLORENCIO VARELA,25
Provincia de Buenos Aires,CIUDADELA,25
Provincia de Buenos Aires,REMEDIOS DE ESCALADA,25
Santa Fe,Rosario,24
Provincia de Buenos Aires,GENERAL SAN MARTIN,24
Córdoba,RIO TERCERO,24
Provincia de Buenos Aires,AVELLANEDA,23
Provincia de Buenos Aires,Mar del Plata,23
Río Negro,VIEDMA,23
Provincia de Buenos Aires,BELLA VISTA,23
Provincia de Buenos Aires,LANUS ESTE,23
Provincia de Buenos Aires,VILLA LUZURIAGA,23
Provincia de Buenos Aires,BOLIVAR,23
Provincia de Buenos Aires,SAN JUSTO,22
Córdoba,CAPILLA DEL MONTE,22
Entre Ríos,CONCEPCION DEL URUGUAY,22
Provincia de Buenos Aires,ZARATE,22
Provincia de Buenos Aires,TIGRE,22
Provincia de Buenos Aires,PUERTO BELGRANO,21
Provincia de Buenos Aires,LOBERIA,21
Provincia de Buenos Aires,LUJAN,21
Neuquén,PLOTTIER,21
Mendoza,LUJAN DE CUYO,21
Catamarca,SAN FERNANDO DEL VALLE DE CATAMARCA,20
Provincia de Buenos Aires,SAN ISIDRO,20
Provincia de Buenos Aires,PASO DEL REY,20
Mendoza,SAN MARTIN,19
Córdoba,MARCOS JUAREZ,19
Provincia de Buenos Aires,SAN ANTONIO DE PADUA,19
Provincia de Buenos Aires,GERLI,19
Provincia de Buenos Aires,GONZALEZ CATAN,19
Provincia de Buenos Aires,CHASCOMUS,19
San Luis,MERLO,19
Provincia de Buenos Aires,BALCARCE,19
Santa Fe,SANTO TOME,19
Provincia de Buenos Aires,SAN FERNANDO,19
Provincia de Buenos Aires,VILLA DOMINICO,18
Córdoba,VILLA DEL ROSARIO,18
Provincia de Buenos Aires,CITY BELL,18
Mendoza,MALARGUE,18
Santa Cruz,PUERTO DESEADO,18
Santiago del Estero,LA BANDA,18
Provincia de Buenos Aires,BURZACO,18
Provincia de Buenos Aires,LONGCHAMPS,18
Provincia de Buenos Aires,HURLINGHAM,18
Mendoza,LA CONSULTA,18
Córdoba,JESUS MARIA,18
Provincia de Buenos Aires,VILLA GESELL,17
Provincia de Buenos Aires,DOLORES,17
Provincia de Buenos Aires,CHIVILCOY,17
Río Negro,BARILOCHE,17
Provincia de Buenos Aires,EZEIZA,17
Chubut,LAGO PUELO,17
Neuquén,VILLA LA ANGOSTURA,17
Entre Ríos,CRESPO,17
Provincia de Buenos Aires,SARANDI,17
Provincia de Buenos Aires,MUNRO,17
Provincia de Buenos Aires,HAEDO,17
San Juan,RIVADAVIA,16
Provincia de Buenos Aires,MERCEDES,16
Provincia de Buenos Aires,VILLA MARTELLI,16
Santa Cruz,CALETA OLIVIA,16
Provincia de Buenos Aires,LA TABLADA,16
San Luis,VILLA MERCEDES,16
Formosa,FORMOSA,15
Provincia de Buenos Aires,BELEN DE ESCOBAR,15
Provincia de Buenos Aires,CARMEN DE ARECO,15
Provincia de Buenos Aires,San Carlos de Bolivar,15
Provincia de Buenos Aires,RAFAEL CALZADA,15
Provincia de Buenos Aires,SANTOS LUGARES,15
Provincia de Buenos Aires,OSTENDE,15
Jujuy,SAN SALVADOR DE JUJUY,15
Provincia de Buenos Aires,VALENTIN ALSINA,15
Corrientes,GOYA,14
Provincia de Buenos Aires,SAN ANDRES,14
Provincia de Buenos Aires,25 DE MAYO,14
Provincia de Buenos Aires,MANUEL B GONNET,14
Córdoba,SALSIPUEDES,14
Provincia de Buenos Aires,JOSE CLEMENTE PAZ,14
Provincia de Buenos Aires,SAN CARLOS,14
Provincia de Buenos Aires,CIUDAD MADERO,14
Provincia de Buenos Aires,GLEW,14
Provincia de Buenos Aires,BECCAR,14
Córdoba,BELL VILLE,14
Provincia de Buenos Aires,BERISSO,14
Santa Cruz,PERITO MORENO,13
Provincia de Buenos Aires,MARTIN CORONADO,13
Río Negro,EL BOLSON,13
Provincia de Buenos Aires,GENERAL PACHECO,13
Provincia de Buenos Aires,CARAPACHAY,13
Provincia de Buenos Aires,VILLA BOSCH,13
Provincia de Buenos Aires,AZUL,13
Entre Ríos,ROSARIO DEL TALA,13
Provincia de Buenos Aires,ISIDRO CASANOVA,13
Provincia de Buenos Aires,SAN VICENTE,13
Provincia de Buenos Aires,VILLA ADELINA,12
Provincia de Buenos Aires,BERNAL,12
Chubut,TREVELIN,12
Provincia de Buenos Aires,ALEJANDRO KORN,12
Entre Ríos,CHAJARI,12
Provincia de Buenos Aires,LINCOLN,12
Provincia de Buenos Aires,PIÑEYRO,12
Mendoza,SAN JOSE,12
Provincia de Buenos Aires,BENITO JUAREZ,12
Santa Fe,ROLDAN,12
Provincia de Buenos Aires,AYACUCHO,12
Corrientes,SANTO TOME,11
Río Negro,Viedma,11
Córdoba,LA FALDA,11
Entre Ríos,VICTORIA,11
Río Negro,VILLA REGINA,11
Provincia de Buenos Aires,VERONICA,11
Provincia de Buenos Aires,BERNAL ESTE,11
Provincia de Buenos Aires,BENAVIDEZ,11
Provincia de Buenos Aires,TORTUGUITAS,11
Provincia de Buenos Aires,MUÑIZ,11
Córdoba,RIO CEBALLOS,11
Río Negro,DINA HUAPI,11
Santa Fe,FUNES,11
Provincia de Buenos Aires,VILLA ROSA,11
Santa Fe,ARROYO SECO,10
Entre Ríos,COLON,10
Santa Fe,ESPERANZA,10
Provincia de Buenos Aires,SANTA CLARA DEL MAR,10
Mendoza,CHACRAS DE CORIA,10
Provincia de Buenos Aires,LOMAS DEL MIRADOR,10
Provincia de Buenos Aires,CLAYPOLE,10
Provincia de Buenos Aires,RAFAEL CASTILLO,10
Provincia de Buenos Aires,SAN MARTIN,10
Provincia de Buenos Aires,GRAND BOURG,10
Entre Ríos,SAN JOSE,10
Mendoza,MAIPU,10
Corrientes,PASO DE LOS LIBRES,10
Provincia de Buenos Aires,CORONEL PRINGLES,10
Entre Ríos,Gualeguaychu,10
Provincia de Buenos Aires,FLORIDA OESTE,10
Provincia de Buenos Aires,LIBERTAD,10
Provincia de Buenos Aires,CARLOS CASARES,10
Provincia de Buenos Aires,LLAVALLOL,10
Córdoba,VILLA DOLORES,10
Neuquén,CUTRAL CO,9
Mendoza,PAREDITAS,9
Santa Fe,FIRMAT,9
Misiones,OBERA,9
Mendoza,GUAYMALLEN,9
Neuquén,CENTENARIO,9
Entre Ríos,FEDERACION,9
Provincia de Buenos Aires,VILLA LIBERTAD,9
Córdoba,CORRAL DE BUSTOS,9
Provincia de Buenos Aires,La Plata,9
Provincia de Buenos Aires,TRES ARROYOS,9
Provincia de Buenos Aires,GUERNICA,9
Provincia de Buenos Aires,TRISTAN SUAREZ,9
Provincia de Buenos Aires,JOSE C PAZ,9
Provincia de Buenos Aires,VICENTE LOPEZ,9
Provincia de Buenos Aires,LAS FLORES,9
Provincia de Buenos Aires,VILLA ELISA,9
Córdoba,COSQUIN,9
Corrientes,ALVEAR,9
Provincia de Buenos Aires,CRUCESITA,9
Provincia de Buenos Aires,CORONEL SUAREZ,9
Provincia de Buenos Aires,CIUDAD EVITA,9
Provincia de Buenos Aires,CHACABUCO,9
Provincia de Buenos Aires,CAÑUELAS,9
Provincia de Buenos Aires,SAN NICOLAS,9
Provincia de Buenos Aires,MARCOS PAZ,9
Neuquén,ZAPALA,9
Provincia de Buenos Aires,ARRECIFES,9
Provincia de Buenos Aires,PILAR,9
Provincia de Buenos Aires,MAR DE AJO,9
Provincia de Buenos Aires,BRAGADO,9
Corrientes,ITUZAINGO,8
Provincia de Buenos Aires,LA UNION,8
Mendoza,CAPITAL,8
Provincia de Buenos Aires,GARIN,8
Córdoba,VILLA CURA BROCHERO,8
San Juan,capital,8
Provincia de Buenos Aires,JOSE MARMOL,8
Córdoba,ARROYITO,8
Provincia de Buenos Aires,VILLA RAMALLO,8
Santa Fe,CASILDA,8
Córdoba,SANTA ROSA DE CALAMUCHITA,8
Provincia de Buenos Aires,GRAL DANIEL CERRI,8
Córdoba,MENDIOLAZA,8
Provincia de Buenos Aires,necochea,8
Santa Fe,RUFINO,8
Provincia de Buenos Aires,EZPELETA ESTE,8
Provincia de Buenos Aires,EZPELETA,8
Córdoba,LA CALERA,8
Provincia de Buenos Aires,LUIS GUILLON,8
Provincia de Buenos Aires,SANTA TERESITA,8
Mendoza,San Rafael,8
Chubut,SARMIENTO,8
Chubut,Lago Puelo,8
Provincia de Buenos Aires,LOBOS,8
Provincia de Buenos Aires,ENSENADA,8
Provincia de Buenos Aires,TOLOSA,8
Tucumán,YERBA BUENA,8
Entre Ríos,Chajari,8
Provincia de Buenos Aires,DON TORCUATO,8
Provincia de Buenos Aires,VILLA CENTENARIO,8
Provincia de Buenos Aires,EL TALAR,8
Santa Cruz,PUERTO SAN JULIAN,7
Provincia de Buenos Aires,LOS POLVORINES,7
Provincia de Buenos Aires,MAIPU,7
Provincia de Buenos Aires,RAMALLO,7
Provincia de Buenos Aires,RANELAGH,7
Provincia de Buenos Aires,Manuel B Gonnet,7
Neuquén,SAN MARTIN DE LOS ANDES,7
San Luis,JUANA KOSLAY,7
Provincia de Buenos Aires,COLON,7
Provincia de Buenos Aires,BARADERO,7
Provincia de Buenos Aires,Villa Elisa,7
Provincia de Buenos Aires,BRANDSEN,7
Provincia de Buenos Aires,VILLA SARMIENTO,7
Provincia de Buenos Aires,SAN FRANCISCO SOLANO,7
Provincia de Buenos Aires,VILLA SAENZ PEÑA,7
Provincia de Buenos Aires,SAN ANTONIO DE ARECO,7
Mendoza,VISTALBA,7
Provincia de Buenos Aires,Pehuajo,7
Provincia de Buenos Aires,DAIREAUX,7
Provincia de Buenos Aires,SAN MIGUEL DEL MONTE,7
Provincia de Buenos Aires,DEL VISO,7
Provincia de Buenos Aires,DON BOSCO,7
Santa Cruz,Rio Gallegos,7
Provincia de Buenos Aires,VICTORIA,7
Neuquén,PLAZA HUINCUL,7
Provincia de Buenos Aires,GENERAL LAMADRID,7
Provincia de Buenos Aires,GENERAL LAS HERAS,7
San Juan,rivadavia,7
Provincia de Buenos Aires,TURDERA,7
Provincia de Buenos Aires,FRANCISCO ALVAREZ,7
Provincia de Buenos Aires,ROQUE PEREZ,7
Santa Fe,GALVEZ,7
Santa Fe,CAPITAN BERMUDEZ,7
Corrientes,MERCEDES,7
Córdoba,COLONIA CAROYA,7
Córdoba,SAN ANTONIO DE ARREDONDO,7
Chaco,VILLA ANGELA,7
Santa Fe,PILAR,7
Córdoba,LABOULAYE,7
Santa Fe,CAÑADA DE GOMEZ,7
Santa Fe,GRANADERO BAIGORRIA,7
Mendoza,PALMIRA,6
Provincia de Buenos Aires,VIRREY DEL PINO,6
Provincia de Buenos Aires,MALVINAS ARGENTINAS,6
Santa Fe,Venado Tuerto,6
Mendoza,RIVADAVIA,6
Entre Ríos,CONCEPCION DEL URUGU,6
Provincia de Buenos Aires,NUEVE DE JULIO,6
Córdoba,VILLA GENERAL BELGRANO,6
Provincia de Buenos Aires,CANNING,6
Mendoza,GENERAL GUTIERREZ,6
Santa Fe,VILLA CONSTITUCION,6
Mendoza,GENERAL SAN MARTIN,6
Córdoba,VILLA DE LAS ROSAS,6
Provincia de Buenos Aires,LOS TOLDOS,6
Mendoza,MAYOR DRUMMOND,6
Provincia de Buenos Aires,ROJAS,6
Tierra del Fuego A. e I.A.S.,TOLHUIN,6
Provincia de Buenos Aires,LOS HORNOS,6
Santa Fe,VILLA CAÑAS,6
Neuquén,NEUQUEN CAPITAL,6
Entre Ríos,NOGOYA,6
La Rioja,CAPITAL,6
Santa Cruz,PUERTO SANTA CRUZ,6
Provincia de Buenos Aires,TRENQUE LAUQUEN,6
Provincia de Buenos Aires,MONTE CHINGOLO,6
Provincia de Buenos Aires,SAN CLEMENTE DEL TUYU,6
San Juan,san juan,6
Provincia de Buenos Aires,INGENIERO BUDGE,6
Misiones,LEANDRO N ALEM,6
Córdoba,ALMAFUERTE,6
Provincia de Buenos Aires,INGENIERO MASCHWITZ,6
Provincia de Buenos Aires,INGENIERO WHITE,6
Santa Fe,SAN JORGE,6
Provincia de Buenos Aires,GENERAL MADARIAGA,6
Mendoza,CARRODILLA,6
Provincia de Buenos Aires,JOSE LEON SUAREZ,6
Santa Cruz,PICO TRUNCADO,6
Santa Fe,RECONQUISTA,6
Córdoba,villa del rosario,6
Mendoza,TUNUYAN,6
Corrientes,MONTE CASEROS,6
Santa Cruz,LAS HERAS,6
Provincia de Buenos Aires,EL JAGUEL,6
Misiones,SAN JAVIER,6
Catamarca,CATAMARCA SAN FERNANDO DEL VALLE DE,6
Provincia de Buenos Aires,TABLADA,6
Tierra del Fuego A. e I.A.S.,ANTARTIDA,5
Santa Fe,ELISA,5
Santa Fe,ARMSTRONG,5
Provincia de Buenos Aires,MONTE HERMOSO,5
Mendoza,COQUIMBITO,5
Provincia de Buenos Aires,SAN MANUEL,5
Mendoza,CIUDAD,5
San Juan,SANTA LUCIA,5
La Rioja,CHILECITO,5
La Pampa,TOAY,5
San Luis,Capital,5
Mendoza,EL CHALLAO,5
Córdoba,LAS VARILLAS,5
Misiones,APOSTOLES,5
Provincia de Buenos Aires,MATHEU,5
Provincia de Buenos Aires,HENDERSON,5
Santa Fe,SAN LORENZO,5
Provincia de Buenos Aires,GUILLERMO E HUDSON,5
Provincia de Buenos Aires,GREGORIO DE LAFERRERE,5
Provincia de Buenos Aires,GREGORIO DE LA FERRERE,5
Santa Fe,SAN GENARO,5
Provincia de Buenos Aires,ESCOBAR,5
Provincia de Buenos Aires,VILLA DE MAYO,5
Córdoba,Cordoba,5
Provincia de Buenos Aires,VILLA LA FLORIDA,5
Santa Fe,PEYRANO,5
Santa Fe,MONTES DE OCA,5
Provincia de Buenos Aires,VILLA MAIPU,5
Corrientes,ITATI,5
Provincia de Buenos Aires,BERNAL OESTE,5
Santa Fe,LAS PAREJAS,5
Provincia de Buenos Aires,LIMA,5
Córdoba,LA RANCHERITA,5
Córdoba,LAS CALLES,5
Córdoba,LAS HIGUERAS,5
Provincia de Buenos Aires,SIERRA DE LA VENTANA,5
Provincia de Buenos Aires,WILLIAM MORRIS,5
Provincia de Buenos Aires,ACASSUSO,5
Chubut,RIO MAYO,5
Córdoba,MONTE RALO,5
Tucumán,LAS TALITAS,5
Misiones,PUERTO RICO,5
Entre Ríos,BASAVILBASO,5
San Luis,San Luis,5
Córdoba,VILLA ALLENDE,5
Entre Ríos,VILLA LIBERTADOR SAN MARTIN,5
Entre Ríos,URDINARRAIN,5
Córdoba,VILLA NUEVA,5
Entre Ríos,Gualeguay,5
Entre Ríos,SEGUI,5
Neuquén,SAN MARTIN DE LOS AN,4
Provincia de Buenos Aires,SANTA MARIA,4
Santa Fe,VILLA GOBERNADOR GALVEZ,4
Misiones,ELDORADO,4
Provincia de Buenos Aires,MAGDALENA,4
Provincia de Buenos Aires,chivilcoy,4
Catamarca,TINOGASTA,4
Córdoba,MONTE BUEY,4
Chubut,GAIMAN,4
Córdoba,MORTEROS,4
Provincia de Buenos Aires,QUEQUEN,4
Entre Ríos,VILLAGUAY,4
Córdoba,NONO,4
Provincia de Buenos Aires,ALDO BONZI,4
Misiones,BERNARDO DE IRIGOYEN,4
Chubut,EL HOYO,4
Río Negro,SAN CARLOS DE BARILO,4
Santa Fe,ELORTONDO,4
Mendoza,VILLA NUEVA DE GUAYM,4
Santa Fe,EL TREBOL,4
Córdoba,RIO SEGUNDO,4
Mendoza,LUZURIAGA,4
Córdoba,Rio Cuarto,4
Chaco,Resistencia,4
Entre Ríos,SAN SALVADOR,4
Mendoza,EUGENIO BUSTOS,4
Chubut,Rawson,4
Entre Ríos,FEDERAL,4
Tucumán,SAN MIGUEL DE TUCUMA,4
Provincia de Buenos Aires,LOMA HERMOSA,4
Provincia de Buenos Aires,HERNANDEZ,4
Provincia de Buenos Aires,TRONCOS DEL TALAR,4
Provincia de Buenos Aires,GONNET,4
Córdoba,ARROYO DE LOS PATOS,4
Santa Cruz,Perito Moreno,4
Corrientes,RIACHUELO,4
Santa Fe,SAN JAVIER,4
Provincia de Buenos Aires,VEDIA,4
Córdoba,BIALET MASSE,4
Santa Fe,Roldan,4
Provincia de Buenos Aires,ESTEBAN ECHEVERRIA,4
Córdoba,COLONIA ITALIANA,4
Provincia de Buenos Aires,RAUCH,4
Provincia de Buenos Aires,DOCK SUD,4
Provincia de Buenos Aires,VILLA ESPAÑA,4
Entre Ríos,CASEROS,4
Provincia de Buenos Aires,CORONEL BRANDSEN,4
Santa Fe,PIAMONTE,4
Córdoba,DEAN FUNES,4
Provincia de Buenos Aires,CIUDAD JARDIN DEL PALOMAR,4
Santa Fe,PEREZ,4
Provincia de Buenos Aires,VILLA RAFFO,4
Córdoba,HUERTA GRANDE,4
Provincia de Buenos Aires,VILLA SANTOS TESEI,4
Santa Fe,LAS ROSAS,4
Provincia de Buenos Aires,BOSQUES,4
Santa Fe,TORTUGAS,4
Mendoza,DORREGO,4
Provincia de Buenos Aires,chasico,4
San Juan,VILLA KRAUSE,4
Chaco,BARRANQUERAS,4
La Rioja,CHAMICAL,4
Provincia de Buenos Aires,PARADA ROBLES,4
Provincia de Buenos Aires,PONTEVEDRA,4
Provincia de Buenos Aires,SAN JOSE,4
San Juan,albardon,4
La Pampa,EDUARDO CASTEX,4
Corrientes,BELLA VISTA,3
Provincia de Buenos Aires,BARRIO PARQUE LELOIR,3
Provincia de Buenos Aires,LISANDRO OLMOS,3
Entre Ríos,DIAMANTE,3
Provincia de Buenos Aires,BASE AERONAVAL PUNTA,3
Provincia de Buenos Aires,BARRIO EL CAZADOR,3
Provincia de Buenos Aires,SIERRA DE LOS PADRES,3
Santa Cruz,EL CALAFATE,3
Santa Fe,Armstrong,3
Santa Cruz,EL CHALTEN,3
San Juan,POCITO,3
Córdoba,LA CUMBRE,3
Entre Ríos,Concordia,3
